Peptide,002-00001 v3,002-00005 v3,002-00007 v3,002-00014 v3,002-00031 v3,002-00036 v3,002-00037 v3,002-00040 v3,004-00003 v2,004-00006 v3,004-00008 v3,004-00009 v3,004-00016 v3,004-00017 v2,004-00024 v3,004-00025 v3,002-00003 v3,002-00008 v3,002-00012 v3,002-00016 v3,002-00018 v3,002-00021 v4,002-00022 v4,002-00024 v2,002-00028 v4,002-00029 v3,002-00035 v3,004-00012 v2,004-00022 v3,004-00028 v2,004-00030 v2
Peptide_198,1881.50,1622.50,2961.50,1964.50,1227.17,1514.17,1072.83,2771.50,4014.83,3484.17,1991.17,5150.17,2649.83,864.50,3071.83,1720.17,3552.83,1861.83,2346.50,961.83,1710.17,267.50,1265.50,1462.67,1095.50,1856.50,1114.50,2336.50,3788.83,1017.83,2572.17
Peptide_199,1748.06,1636.72,2801.06,1924.39,1167.39,1616.72,1182.06,2840.72,4012.06,3385.39,1902.39,4321.06,2206.06,705.39,2658.06,1884.06,3317.06,1891.06,2674.06,895.06,1520.39,302.72,1104.06,2149.72,1015.72,1823.06,1014.39,2153.72,3400.39,966.39,2148.72
Peptide_200,1656.33,1406.67,2730.33,1784.00,7303.00,1408.00,1090.17,2830.00,3643.33,3801.00,1680.33,3309.33,1889.00,700.00,2366.00,1625.33,2320.33,1773.00,2568.67,782.00,8704.67,259.00,1530.00,1208.67,996.33,1605.00,931.00,2000.33,3062.00,775.33,2024.00
Peptide_201,3921.67,1529.67,4848.33,2936.33,7315.67,1742.00,6191.00,3082.67,6053.00,7592.67,3110.67,7539.00,2703.67,1535.33,2617.00,3342.00,4745.00,3379.67,4558.33,1241.67,13413.67,239.33,1371.33,2784.00,1357.00,3205.67,1508.00,2789.00,3605.00,1101.33,2390.00
Peptide_202,2650.03,1999.69,3985.69,2821.69,2159.36,2301.69,2519.69,3525.69,6647.69,5761.03,2891.36,8146.36,3744.36,1392.69,4059.03,4825.36,5125.36,3211.03,4676.36,1323.03,3806.69,300.03,1406.69,4362.03,1501.03,2980.03,1702.36,3029.69,5338.03,2019.03,4205.36
Peptide_203,1799.17,1896.83,3213.83,2193.83,1554.50,2243.50,1877.17,3418.83,5226.50,4652.50,57575.83,5803.17,2721.17,936.50,3417.17,3559.17,3243.17,2390.17,2783.83,977.50,3120.50,299.83,1313.50,2039.33,1167.83,2395.83,1343.17,2370.50,3921.17,1201.83,2469.83
Peptide_204,1715.06,1613.06,3308.39,1940.39,1339.06,1744.39,1455.72,3273.39,5102.06,4121.72,58128.72,4726.72,2272.72,754.39,3037.06,3097.72,2611.39,2141.72,2665.72,845.72,2248.72,284.39,1169.06,1204.22,1118.39,1747.72,1226.06,2000.39,3292.72,930.06,2036.72
Peptide_205,1287.89,927.89,1960.56,1320.56,823.22,933.22,2009.89,2046.56,2375.56,2449.22,62089.56,2595.89,1456.22,446.22,1999.22,1309.89,2201.89,1133.22,6422.89,497.22,1204.56,188.22,1230.22,876.22,804.56,1138.89,7698.89,1340.56,2310.89,578.22,1374.89
Peptide_206,1254.67,1019.00,1880.33,1447.67,797.67,923.00,1854.00,2114.33,2772.33,2416.33,1218.00,2785.33,1422.00,425.33,1717.00,1106.00,2235.67,1198.00,3723.33,554.00,1137.67,205.67,1221.67,1143.33,791.00,1233.67,6302.00,1411.00,2270.00,639.67,1448.33
Peptide_207,1405.72,1293.06,2606.72,1635.72,973.72,1084.39,893.72,2516.72,3371.72,2700.72,1545.39,3396.72,1722.06,628.06,2075.06,1484.72,2451.72,1516.39,2174.72,681.72,1286.72,241.06,1069.39,1534.06,888.72,1427.06,812.06,2207.72,3070.72,769.39,1737.72
Peptide_208,2013.78,1490.44,3247.44,2467.11,1509.78,1368.11,1403.11,2904.78,4598.78,3757.11,2230.11,5268.78,2760.78,921.78,2313.78,2286.11,3572.11,2399.78,4085.78,1005.44,1667.11,260.78,1160.44,2452.78,1185.44,2211.44,1185.78,2342.78,3934.11,959.78,2226.44
Peptide_209,2370.94,1668.94,4166.28,2828.61,1806.28,1560.28,1700.94,3390.94,5644.94,4735.94,2797.61,6202.61,3624.28,1228.28,2699.94,2970.94,4636.28,2871.28,4801.61,1189.94,2229.28,266.61,1234.28,2007.11,1292.28,2590.61,1329.94,3290.94,4341.28,1095.61,2595.28
Peptide_210,2561.44,2538.78,3429.78,2194.11,2459.78,2759.11,1725.44,4327.78,7248.44,6561.78,2855.11,7234.11,6382.78,1320.78,4813.11,13995.44,3940.44,2105.11,3138.78,5631.44,6302.11,323.11,1279.44,3037.78,2092.11,2324.11,11816.11,3195.78,6122.44,2200.78,5815.78
Peptide_211,2678.28,2306.28,3140.61,2163.28,2258.94,4362.61,1784.61,5794.61,7357.28,4345.28,2198.94,9317.28,2835.61,842.28,3792.94,4110.94,3884.28,1866.28,5268.94,3915.61,3435.94,333.61,1309.94,2509.94,2843.61,1783.28,4375.78,3054.61,5933.61,1119.61,2785.28
Peptide_212,2881.44,2015.44,4143.44,2146.11,1850.11,3503.11,1835.11,4681.11,7085.44,5202.78,2788.44,5948.78,3710.11,1084.44,3606.78,4001.44,3662.11,2126.78,2894.11,1263.11,2886.78,361.78,1292.78,1444.44,1379.78,1969.44,7937.44,3019.44,4838.11,6531.44,3087.11
Peptide_213,2218.36,1440.03,2565.69,1180.36,3051.03,1591.03,1703.36,3101.03,5167.36,3626.36,2485.69,4990.36,1928.03,770.69,3143.69,2800.03,1800.36,2147.36,13430.69,675.03,3058.36,222.36,1508.69,1920.19,869.36,1193.36,906.03,1983.03,5506.69,2990.36,1422.36
Peptide_214,1672.78,1254.78,2799.78,1809.78,1257.78,1469.11,1106.44,3127.44,4830.44,3746.11,2239.78,4292.78,2061.11,697.11,2444.78,1931.78,2617.78,2383.11,2947.78,847.78,1673.44,256.78,1289.78,1822.44,958.11,2581.11,933.44,1986.78,2921.11,814.11,1602.11
Peptide_215,1960.67,1618.00,3439.33,2200.33,1494.00,1449.67,1539.00,2887.33,4701.33,3894.67,2361.00,5680.00,2313.67,865.00,2343.67,2521.67,3190.67,2703.00,4040.33,1111.00,1871.33,259.33,1354.67,2058.00,1112.00,2698.00,1115.33,2155.00,2999.33,915.00,1877.00
Peptide_216,1393.94,1538.61,2725.61,1923.61,1248.61,1376.28,1111.94,2771.94,3657.94,3171.61,1858.94,4434.28,1825.28,727.61,2584.94,1973.94,2464.61,2017.94,2612.61,865.61,1600.94,262.94,1179.28,1551.78,1038.61,1883.94,1000.28,1914.28,3248.61,868.94,1901.94
Peptide_217,1725.94,1453.61,2886.94,1989.94,1485.94,1310.94,1310.28,2763.94,3842.94,3418.61,1939.94,5086.94,2076.94,788.61,2599.94,2319.61,2911.28,2202.94,10078.61,901.61,1621.61,263.28,1223.61,2387.28,998.94,2083.94,964.28,2096.61,3412.28,832.61,1761.94
Peptide_218,1437.22,1110.56,2209.22,1420.22,986.89,1129.22,953.22,2711.22,3488.56,2936.22,1628.56,3388.22,1563.56,552.56,2012.56,1428.22,2238.22,1519.22,13643.89,714.89,1248.56,226.56,974.22,1342.56,892.56,1605.56,802.56,1682.89,2611.22,659.22,1464.89
Peptide_219,1991.00,1540.33,2146.33,1173.67,830.00,1046.33,11670.67,2565.67,3418.67,2859.00,1539.00,2675.00,1113.67,391.67,1728.00,3755.33,1999.33,1367.67,1595.00,2335.33,1681.00,205.00,1186.33,900.00,864.00,1358.00,1870.33,1399.67,1803.33,503.33,1258.33
Peptide_220,46501.72,9462.39,30150.39,50267.06,56224.72,18340.72,60076.06,45782.72,37165.72,28272.72,4137.06,8190.72,16369.39,6862.39,61237.06,44771.06,14787.06,7692.06,62139.72,25267.39,51468.72,2310.06,18006.39,15905.72,5100.39,5228.39,22130.72,10094.72,13243.06,10288.39,9254.06
Peptide_221,41588.25,10097.58,27955.25,45540.92,45638.58,25172.58,55852.25,33779.25,48429.92,29626.58,7030.25,8355.58,15827.92,7748.92,58840.25,38465.58,12408.25,7595.58,55966.92,22920.58,45128.25,1716.25,20633.58,14112.25,31195.58,5146.58,27291.92,13671.25,14224.25,13114.92,8957.58
Peptide_222,8346.64,4151.31,7091.64,6544.64,6264.31,9053.97,23661.64,13341.97,11249.31,15217.31,4064.64,5825.31,5926.31,3045.97,25474.31,10441.64,11205.97,3117.97,3144.97,2174.97,5810.31,1428.31,12425.31,8507.64,4604.64,2458.31,55296.31,8273.64,4628.64,2738.31,4880.97
Peptide_223,4557.44,3000.11,10285.44,4066.44,3072.11,2267.44,5573.44,4811.78,7681.78,6947.11,4152.11,8308.44,4323.78,1304.11,6944.44,3387.78,10276.44,4260.11,8202.11,1443.78,3496.44,254.44,2338.44,3616.61,1739.11,4441.78,31349.11,4236.44,4058.78,3582.78,4986.11
Peptide_224,3898.78,2650.11,6543.11,4107.78,2205.44,2098.44,2015.11,3421.11,7376.44,63921.11,4009.78,8051.78,5859.78,1644.78,32226.11,6132.11,7081.44,4902.44,5023.11,1345.78,2919.78,266.11,1525.11,4597.44,1505.44,5079.11,2265.11,3054.44,5164.78,1993.78,4198.11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
