Group,002-00001 v3,002-00005 v3,002-00007 v3,002-00014 v3,002-00031 v3,002-00036 v3,002-00037 v3,002-00040 v3,004-00003 v2,004-00006 v3,004-00008 v3,004-00009 v3,004-00016 v3,004-00017 v2,004-00024 v3,004-00025 v3,002-00003 v3,002-00008 v3,002-00012 v3,002-00016 v3,002-00018 v3,002-00021 v4,002-00022 v4,002-00024 v2,002-00028 v4,002-00029 v3,002-00035 v3,004-00012 v2,004-00022 v3,004-00028 v2,004-00030 v2,,,,,,,,,,,,,
,1256.407333,1439.137333,1484.946,1446.037333,1773.204,5192.892667,1290.596667,1301.842667,2013.009333,1392.17,1510.252667,1481.022667,1486.534,2317.614,9133.461429,,1961.116667,2907.038,3596.102,3156.171333,3239.359333,2704.894667,2014.084667,2446.998667,2412.876667,2299.703333,2710.696,2497.199333,2893.066667,3507.613333,9135.818571,,,,,,,,,,,,,
,2874.252,3760.615333,7048.590667,6075.615333,4878.781333,4253.961333,2398.396667,3792.51,4526.519333,2789.992,4004.341333,3318.29,7492.400667,1629.168667,5297.960714,,311.2733333,395.882,321.2126667,320.6593333,402.1586667,345.5386667,310.3073333,355.0646667,357.1873333,436.4373333,344.7186667,331.4886667,257.7113333,265.7906667,597.6292857,,,,,,,,,,,,,
,1410.606667,1550.548667,2082.324,1776.348667,1863.404667,1608.672667,1178.052,1442.431333,1451.610667,1376.125333,1568.44,1480.534,1933.778667,2070.534667,12156.65214,,2044.872667,1708.437333,2434.100667,2237.437333,1939.936,1532.138667,1432.086667,1647.488,1571.3,1464.527333,1641.185333,1634.378,1367.134667,1250.724,4732.009286,,,,,,,,,,,,,
,4177.873333,5283.481333,8332.369333,7221.905333,5812.315333,5246.606,3574.907333,5631.642667,5988.252667,4292.971333,5158.674667,4797.711333,9283.334,3006.39,9395.794286,,1917.517333,2570.048,3188.178667,2817.081333,3063.858667,2341.039333,1853.164,2434.766,2315.043333,2256.292,2611.564,2104.467333,2596.189333,2016.302,4476.877857,,,,,,,,,,,,,
,6100.808,7823.148,13800.19067,13785.50467,10148.248,8946.782667,5355.064667,7374.109333,8269.566,5933.326667,8093.697333,8421.466667,13877.93267,4726.745333,11103.795,,1384.051333,1743.036667,1750.634667,1769.592667,1759.003333,1461.583333,1412.551333,1354.844,1407.964667,1404.482,1461.608,1426.045333,1263.623333,1191.879333,3935.866429,,,,,,,,,,,,,
,4995.495333,6332.281333,9244.813333,13947.30467,6273.758667,5733.427333,4966.818,5009.265333,5208.342667,4815.924667,5823.962667,5991.266,5571.711333,4254.368,12656.105,,2542.406667,2818.326,2782.237333,2686.836667,2820.546667,2575.716667,2074.797333,2060.887333,2003.676667,2318.014667,2508.496667,2483.022667,2222.8,2015.924,2822.2,,,,,,,,,,,,,
,2393.451333,3047.57,3782.812,3479.993333,3009.092,2862.962,2415.774667,2396.799333,2449.540667,2412.326,2690.14,2970.644,2561.268667,13624.61267,3031.009286,,1217.117333,1622.77,1887.300667,1658.614667,1706.892,1548.405333,1194.662667,1412.752667,1366.032,1297.814,1494.940667,1394.222,1531.376667,2692.524667,11302.76,,,,,,,,,,,,,
,4779.873333,7004.858,8546.703333,7113.681333,6379.716667,6152.517333,5532.842667,5343.909333,5625.454,5399.548667,6382.964667,6176.666667,6093.977333,5110.990667,6038.962143,,2786.076,3214.894,4688.968667,4078.658667,4052.092,3322.916667,2865.884667,2923.399333,2752.987333,7247.57,3385.208,3180.156,3370.356667,2417.234667,4187.342857,,,,,,,,,,,,,
,2544.273333,3617.058667,5873.588667,4775.481333,4907.758667,4401.982667,3369.307333,3835.130667,3361.853333,3252.459333,4076.452,3710.289333,4560,2758.258,4838.225714,,3006.828667,4058.659333,5843.079333,5457.114,5578.936667,5237.894667,4391.974667,4916.410667,4384.554,4210.392,5251.252667,4652.334667,5231.867333,3806.946,5328.128571,,,,,,,,,,,,,
,880.7626667,1111.826,1355.168,1319.526,1984.848,1177.583333,942.796,1012.042667,985.92,977.904,1162.472667,1049.533333,1106.557333,928.102,1951.867143,,2119.929333,1882.104,3910.367333,3426.216,4069.848667,2446.851333,1816.573333,4320.532,2784.876667,1654.57,2197.318,1930.956667,2399.600667,1108.057333,3353.771429,,,,,,,,,,,,,
